,stype,id,uname,content,time,v2_up_count
135,8337559,6839737360335499932,,这个旁白是不是王晰啊，跟声入人心好像,22000,9
136,8337559,6837306881288491905,,来了老姐,22005,26
137,8337559,6837324658158195498,,来啦  姐姐们冲鸭,22433,17
138,8337559,6837857805335250226,,这段话让姐姐说啊,23203,24
139,8337559,6837409135870333726,听姐姐的,爱宁静，爱金晨,23628,45
140,8337559,6837441300880566315,听姐姐的,我的妈，才知道可以看了,23756,15
141,8337559,6838061562879017411,,为了看这个综艺专门开的会员哈哈哈哈哈,23846,3
142,8337559,6837432393118350137,听姐姐的,来啦来啦！！！姐姐们冲鸭！！,23290,11
143,8337559,6837306829748884198,,郁可唯冲,23570,15
144,8337559,6838111023722561965,,吴昕 加油(ง •̀_•́)ง,24250,41
145,8337559,6839221466043283239,听姐姐的,哇哦,24667,4
146,8337559,6837619280030797832,,高跟鞋哒哒声听到就有气势,24000,28
147,8337559,6839919153416368222,,为了看  直接开了个会员,24791,26
148,8337559,6842956734680835346,,王霏霏 孟佳 金晨💙💙💙💙,24014,6
149,8337559,6847496141456502066,,来了来看火爆这个夏天的是什么好看的,24946,
150,8337559,6839194884490663792,,欣欣子(ง •̀_•́)ง,25049,29
151,8337559,6837314298697035629,,欢迎收看《晓明历险记》,25000,152
152,8337559,6837415664220653249,气场强大,陈松伶，唱的比原版还要好啊，好给力,25778,20
153,8337559,6837338049866285061,听姐姐的,来喽,25838,26
154,8337559,6849678087925665498,,为什么没有徐怀钰？？？？？？？？？？,25635,1
155,8337559,6841857536584033803,,充了发现不充也可以看哎,25157,2
156,8337559,6837306816863982276,,这就开始了？,26460,31
157,8337559,6837306894173393830,,来看美昕啦,26000,20
158,8337559,6837365301433906889,,冲呀 琦琦子,26000,18
159,8337559,6837307323670124813,,郁可唯冲,26000,15
160,8337559,6837424267040186911,气场强大,期待姐姐们～来啦,26046,4
161,8337559,6837306868403589984,,啊啊啊啊啊啊啊啊啊啊啊来了姐姐们我来了,26053,9
162,8337559,6837329013255052818,,第一次追选秀综艺就交给姐姐们了,27865,56
163,8337559,6837365752405475170,演技派,万茜姐姐我来了！万花筒给你撑腰了！,27064,27
164,8337559,6837372160496711893,听姐姐的,为黄晓明打call哈哈哈哈,27000,25
165,8337559,6837811170580188274,,我不喜欢看选秀，但这个的精彩吸引我了,27845,9
166,8337559,6837338346219029797,,冲鸭姐姐们,27638,21
167,8337559,6837584503680582989,,等我下班在看,27054,4
168,8337559,6837630468420616795,,猝不及防的开始了,28270,81
169,8337559,6837307044497249686,,昕昕子,28858,103
170,8337559,6837451127765790982,,金沙 吴昕 张含韵!!!,28000,26
171,8337559,6837344470842421933,拎包妹,工作人员辛苦了,28000,27
172,8337559,6840704312094157815,,我来啦  特地续费我的会员来啦 来看姐姐们,28000,
173,8337559,6837348027075359376,太后驾到,晓明哥加油 挺住哈哈哈哈哈哈哈哈哈,28000,15
174,8337559,6837306842633786125,,本年度最期待的综艺哈哈哈哈哈哈哈,29000,124
175,8337559,6837883463469949575,,我是朋友介绍过来看的，听说很搞笑，期待！🤣,29000,8
176,8337559,6841762123885469782,,你一票我一票，姐姐们明天就出道，冲呀琦琦子和昕昕子,29000,5
177,8337559,6837324512129306805,,55555爱死茜茜子了,29608,13
178,8337559,6840314951833330946,,啊啊啊啊啊，乘风破浪的姐姐们，冲啊,29543,4
179,8337559,6837774375595258736,,来啦！期待(๑˙ー˙๑),29974,4
180,8337559,6837353176741171257,,表示敬佩节目组,30870,160
181,8337559,6837500202062365726,,张含韵，仙女，出道吧,30966,28
182,8337559,6840680548040054960,跟班小弟,被妈妈安利(ღ˘⌣˘ღ),30890,5
183,8337559,6837306885583459215,,终于等到你！,30000,12
184,8337559,6837390010380879271,,姐姐们冲啊！！,30000,11
185,8337559,6840849520643720353,,张雨绮，宁静冲啊啊啊啊,30000,4
186,8337559,6837411811634971134,最强舞担,哈哈哈哈哈  激动,31641,14
187,8337559,6837308058109534844,,昕昕我来了,31019,21
188,8337559,6837389941661402214,气场强大,姐姐们冲呀,31018,14
189,8337559,6837353743676857079,,来了来了，来看孟佳和霏,31210,9
190,8337559,6837318589369379861,,昕昕子加油！,31000,12
191,8337559,6837593913953932108,听姐姐的,宁静大姐大   最爱,31307,3
192,8337559,6837306924238165004,,李斯丹妮冲冲冲,32000,38
193,8337559,6837449319584549707,实力唱将,唯唯子冲啊！！！！！！！,32000,11
194,8337559,6845558204965345149,,张含韵加油加油哦💪。 2020.7.4,32000,6
195,8337559,6837306868403589987,,昕姐,32105,28
196,8337559,6837307018727445813,,我竟然知道12点开始,32648,10
197,8337559,6837648253880219590,,加油(ง •̀_•́)ง,32695,3
198,8337559,6838698424925548944,,终于能看正片了,33000,6
199,8337559,6837623940070318643,,终于开播了。,33043,4
200,8337559,6837399918870476408,拎包妹,来了来了,33956,12
201,8337559,6837440987347952112,气场强大,静姐~宁静~,33076,10
202,8337559,6837694472023425230,听姐姐的,来啦！！~~~,33217,5
203,8337559,6837306924238165002,,我来了！！！,33822,6
204,8337559,6839088377891575240,,来了,34768,1
205,8337559,6837826568037988461,,昕昕子加油！,34182,17
206,8337559,6837602211830751613,,吴昕沈梦辰钟丽缇伊能静冲鸭！！！,34124,9
207,8337559,6837472447983560072,听姐姐的,来了来了，为什么一点消息都没有,34299,4
208,8337559,6838126060403101429,,来了来了，从不追综艺的我,34995,2
209,8337559,6838500422638032039,,四刷！！！！！芒果给我搞快点！！！！！,34228,1
210,8337559,6837307027317380448,,姐姐们我来了,35383,14
211,8337559,6837378774746379765,听姐姐的,什么时候播的，怎么不知道啊,35000,13
212,8337559,6845206919589589244,,和景元一起为万茜姐姐打call,35649,4
213,8337559,6837859729480605807,,文案走心了，不愧是芒果台,35000,9
214,8337559,6838354127461805715,,晓明哥应该退位让贤给我们朱一龙哥哥啦,35757,2
215,8337559,6848081901982486825,听姐姐的,姐姐们～(￣▽￣～)~，冲鸭😆😆,35040,
216,8337559,6837447232230432829,听姐姐的,昕姐加油(ง •̀_•́)ง,36358,30
217,8337559,6837407374933734659,,昕昕子我和你一起乘风破浪,36804,19
218,8337559,6837779374937205361,,这个字幕咋回事啊，只能看一半儿,36105,3
219,8337559,6837686363125138939,浪花崽,昕昕子冲呀！,36971,6
220,8337559,6837306975777772718,,熊奥在看吧,36367,7
221,8337559,6839919561438263368,,撕起来时候想想都非常有看点!!,36814,1
222,8337559,6838644750719240666,,miss A冲啊,37526,13
223,8337559,6837351085092088190,听姐姐的,第一次追这个类型节目,37000,8
224,8337559,6843622179734635139,,开始的这段前言，实在是泪目！,37000,1
225,8337559,6863652369640525611,,感谢这个节目让我爱上万茜，20200822回头打卡,37000,
226,8337559,6837306971482805418,,来了来了,37043,4
227,8337559,6837322734012838218,,我来啦哈哈哈哈,37963,2
228,8337559,6837659450859985665,,不要惹30岁以上的女人,38860,119
229,8337559,6839284340069588589,,每个年龄都有自己的魅力。冲就完了。,38051,6
230,8337559,6838780695024142808,,美女们等着我哈😄,38140,1
231,8337559,6837773718465260547,,张含韵怎么越来越可爱了,38547,65
232,8337559,6839518119434639540,,昕姐加油，fighting！！！,38070,5
233,8337559,6861476556382035052,,8月16日前来重温，希望节目组记得初心,38000,
234,8337559,6838452795745621459,,来看小明历险记啦哈哈哈哈哈哈哈哈哈,39869,12
235,8337559,6837409445107980403,听姐姐的,昕姐冲冲冲,39089,14
236,8337559,6840002952523526183,太后驾到,金晨给我冲！,39038,7
237,8337559,6837412417225362585,,有综艺追了,39000,8
238,8337559,6841344429725678870,,啊！！！！来啦来啦！！！！,39549,
239,8337559,6838559968064712241,,郑希怡。阿朵,39000,4
240,8337559,6837380806265920825,听姐姐的,昕姐冲吖,40213,21
241,8337559,6837635162819878059,,哇😯100分钟？,40681,12
242,8337559,6837328381894857594,,我爱姐姐们,40571,16
243,8337559,6837354027144699937,,为什么我的和别人的不一样,40000,9
244,8337559,6840233807016040720,,郑希怡，陈松伶，丁当，钟丽缇加油，冲啊，姐姐们,40984,1
245,8337559,6837488313592832728,听姐姐的,为了姐姐充了会员！！！！,40677,6
246,8337559,6837625675237108114,,含韵含韵,41611,53
247,8337559,6837726087277809023,,金晨冲冲冲,41000,22
248,8337559,6838121567867299268,,怎么首页连推送都没有啊，翻了好几遍都翻不到,41221,7
249,8337559,6837376889255727664,演技派,万茜 加油 冲🦆,41764,19
250,8337559,6838354294965530314,,如果有乘风破浪的哥哥，我首推朱一龙哥哥！,41797,4
251,8337559,6845651388575982453,,针对城市白领与喜欢姐姐的人们加上中年男子....的节目,41620,
252,8337559,6837390663215911273,,Wa感觉这综艺才是正能量 ,42000,24
253,8337559,6837307568483261514,,万茜小姐姐冲,42385,89
254,8337559,6837876144845661334,,给嘉尔pick的姐姐打call,42113,6
255,8337559,6837331109199102680,气场强大,王霏霏 ！姐姐加油💪,42000,11
256,8337559,6862169545062196782,,浴室歌姬来了，我要扛着浴缸追随！,42556,
257,8337559,6837307594253065375,,郁可唯 11年了  爱你 冲冲冲 ,42000,4
258,8337559,6839312802817899935,,乘风破浪的姐姐们 ，来了来了,43236,9
259,8337559,6843663050643493359,,中年选秀节目，参赛的都超过30l,43000,8
260,8337559,6838220489554284224,,梦辰冲呀冲呀！,43761,12
261,8337559,6855158762555531837,,看背影就是兰花草我爱了,43000,4
262,8337559,6837307388094634480,,来啦来啦来啦来啦啊啊啊,43286,7
263,8337559,6838643045617223505,,姐姐们冲冲冲！！！昕姐冲冲冲！！！,43292,3
264,8337559,6837416080832482928,听姐姐的,姐姐们，小雨我来了,44013,14
265,8337559,6837503865669486538,听姐姐的,吴昕冲鸭！！！！,44489,10
266,8337559,6837307117511693957,,郁可唯沖鸭,44165,9
267,8337559,6838014408432961809,,鲜花和征途 圣依小姐姐,44812,
268,8337559,6837662160984356070,,姐姐们给我冲,44301,4
269,8337559,6837306941418034252,,我来了我来了,44770,7
270,8337559,6839892266921016515,,张含韵这么多年都没怎么变，真是娃娃脸,45971,23
271,8337559,6837668801003812848,,宁静冲呀！！！,45167,21
272,8337559,6842872918393851830,听姐姐的,要不是为了张雨绮 谁会充VIP啊啊啊啊啊,45531,4
273,8337559,6837307001547576581,,张含韵，是我的青春,45000,15
274,8337559,6837306958597903490,,姐姐们，加油＾０＾~,45772,15
275,8337559,6838040491769398802,,宁静姐姐冲冲啊冲冲冲,45175,4
276,8337559,6837808572124966857,,含韵真的看起来好年轻,46000,14
277,8337559,6837307310785222879,,姐姐好飒,46491,15
278,8337559,6838078313251538469,,昕昕子加油(ง •̀_•́)ง,46244,8
279,8337559,6842259137501417287,,含韵 盈莹藏不住了 爱了这个节目,46000,1
280,8337559,6837533745757045191,,小花小花你最棒,46000,12
281,8337559,6839169243535873583,,愿大家都有个美妙的夏天:D(⁎⁍̴̛ᴗ⁍̴̛⁎),46408,1
282,8337559,6837307499763784548,,张雨绮冲鸭！！！,47652,36
283,8337559,6837997292988265539,,老子是来看万茜的,47000,31
284,8337559,6837656002001238758,,是王晰念的旁白吗！,47452,14
285,8337559,6842906917355055735,,含韵三十多了？？？我一直觉得她才二十几岁,47977,4
286,8337559,6837415758709934204,气场强大,真帅啊好棒的陈松伶,47958,11
287,8337559,6838408703611281998,,开头好像金陵十三钗那种风格,47277,4
288,8337559,6837602555428135456,,吴昕沈梦辰,48517,33
289,8337559,6837449371124157533,听姐姐的,你一票我一票，昕姐明天就出道,48229,13
290,8337559,6841160983082412509,听姐姐的, 欣姐加油，我quick你哦！,48079,1
291,8337559,6837362548359856600,听姐姐的,姐姐们冲鸭,48460,12
292,8337559,6837697719018714132,,在线call007,48705,1
293,8337559,6861145392927813893,太后驾到,我来了我来了,48940,
294,8337559,6837403041311714260,,大型吃瓜  来啦 来啦,49259,21
295,8337559,6837644229495855337,,每个姐姐都好喜欢,49120,14
296,8337559,6838210752863401376,,王鸥 杨蓉 我大明侦！！！冲呀！！！,49867,11
297,8337559,6845200296750002129,,抖音视频上来的特别喜欢,49644,5
298,8337559,6837307160461367027,,冲鸭姐姐们,49313,12
299,8337559,6838402432959022519,,这个我喜欢妞多注意进化自己词典别中文鸟语和破词,49131,2
300,8337559,6837338874500009566,,都不知道播了,50649,28
301,8337559,6837307564188294196,,霏霏王霏霏美死了,50000,7
302,8337559,6837307078856988161,,郁可唯啊啊啊啊,50000,6
303,8337559,6838760096360975085,,含韵冲冲冲！！！！,50010,4
304,8337559,6840349294391901628,实力唱将,姐姐们加油呀 看好你们哦,50557,2
305,8337559,6837366113182729766,气场强大,喜欢这个气场,50000,5
306,8337559,6837448331742066372,,吴昕小姐姐加油,51114,50
307,8337559,6837608022921506296,,霏霏和佳冲啊,51865,18
308,8337559,6843663424305648538,,路人打卡！希望吴昕，沈梦辰，金晨能出道，这三个人性格都很好,51000,3
309,8337559,6837307461109078756,,李斯丹妮,51000,21
310,8337559,6837400975432435800,听姐姐的,绝美姐姐，太飒了,51250,13
311,8337559,6838018209479024796,,啊啊啊啊啊啊！都好喜欢我的妈！,51657,1
312,8337559,6837415440882352892,,白冰姐姐我来了嘿嘿嘿,52866,17
313,8337559,6837307190526138199,,郁可唯我来了,52412,10
314,8337559,6837689408256963003,太后驾到,啦啦啦都不知道开播了,52000,3
315,8337559,6851451492809565765,,绮绮子我来看你了,52014,1
316,8337559,6837307061677118931,,期待期待,52000,5
317,8337559,6839495832849324700,,冲呀姐姐们！！,52084,1
318,8337559,6838746292336076914,听姐姐的,孟佳冲鸭,53297,4
319,8337559,6837307254950647840,,姐姐们冲鸭,53384,15
320,8337559,6837325585871135605,,姐姐们身材好好哦,53000,8
321,8337559,6837671408048968145,气场强大,张雨绮万茜钟丽缇啊啊啊麻麻爱你们,53302,6
322,8337559,6837643709804811543,,啊啊啊啊为姐姐们打call!!!!!,53914,5
323,8337559,6837416338530521879,,成功的女人们来了,54470,94
324,8337559,6837345445800002665,听姐姐的,给姐姐们摁棒！！！姐姐们加油鸭！！,54000,32
325,8337559,6837678082428164278,听姐姐的,竟然藏这么严实~~~~~~~~~~,54962,7
326,8337559,6838204074189240151,,姐姐们冲啊啊啊啊啊！！！！！！！！！！！！！,54253,2
327,8337559,6837307254950647834,,唯唯子沖鸭,54815,12
328,8337559,6837656818045026960,,今年最期待的节目开播啦，喜大普奔,54049,7
329,8337559,6837406481580533160,,张含韵给爷冲！！！,55366,37
